223,3:43 nothing is funnier than hobi mimicking RM's english speaking style😂😂😂😂😂😂😂lmao,0
189,3:09 jinis ultimate fan.... #2seoks,1
80,1:20 jin is just me when i see hobi dancing 😂💚,0
209,3:29 jimin: HEY j-hope,0
320,5:20 this remains iconic forever 😂💜,0
616,10:16 jhope can't watch his hotness 🔥🤣,1
467,"7:47
*hobi offering tae food*
taehyung at first: declines
WAIT, IT'S JHOPE. LET ME ACCEPT.",0
186,3:06 WWH dance... Wow aegyo 😂😍,0
183,3:03-3:10 😂😂😂😂😂😂😂😂jin,0
451,"7:31
How hopekook were hugging each other am jealous :'(",0
197,"3:17
In case you care :









Jimin was chatting w me on phone at this time !! DON'T BE JEALOUS !!
BYE x",0
374,6:14 jhope having big uncle energy bcz of tani😂😂😂😂😂,0
548,09:08 LOOK AT HOBI😭 he is so handsome!!,0
446,7:26 what videos name?,0
630,10:30-11:15 🤣                                                              Yoongi: J-HOPEEEEEEEEEEEEEEEEEEE *times 1000*,1
234,3:54 can someone tell me where I can watch this? Or what is the name of this video?,0
149,2:29 look at Yoongis reaction to when Jhope takes off his jacket😂😂😂😂,7
159,2:39 haha i know it feels when people keep giving you compliments. I always react the same way as him.😂😂 *but for real tho LOOK HOW SWEET THEY ARE FOR EACH OTHER*,0
147,2:27 Suga looks so adorable,0
2,"0:02 THAT SMILE oHGOSH
1:20 isn't this all of us when Just Dance starts playing?
3:58 nooooo this what jhope thinks Joonie looks like when giving speeches?!😂
6:17 Oh Cameo, Cameo?
7:26 Me pointing to Hobi as my bias
10:15 Yoongi being Hobi's biggest fan during BS&T
💚💚💚💚💚💚💚💚💚",38
552,9:12 his voiceeee,1
615,10:15 Namjoon's clothes?!,1
678,"11:18 when Suga says ""OmG J-Hope"" like he can't believe he exists is a representation of all Army's when we see the boys",101
633,10:33 When your bias' bias is your bias wrecker.,46
635,10:35... Aaaiisshh... AGUST D OPPA. .. annyoeng. .. oke. . Oke. .. we'll know you're very support full for our SUNSHINE JHOPE OPPA. .. and I wish that's never the and. . Plus. .. In back side our beloved KOOKIE is look so cute. .. With his ĺovely smile 💜❤😸😸❤💜,0
375,6:15 so of course you have to buy them! They re comfy!,3
199,3:19 looks like as if Jimin is busy with someone on his phone😉,0
174,2:54 is so cute...Kookie looks like he is hypnotized by Jhope 😍,133
614,10:14 this should be the bs&t fanchat seriously!!!💜 Love u jhoooooooope,1
321,5:21 biggest hobi-boy is MIN YOONGI,24
