151,"02:31 Jimin really wanting to dance
Why is he soo handsome/sexy?🔥",0
60,1:00- 1:09 GOT ME EVERYTIME,0
123,2:03 LA ROPA DE J-HOPE WTF,0
204,3:24 how did Suga and Jhope switch personalities?? 😂,0
107,1:47 thank me later,0
147,2:27 hello jimin,1
121,2:01 WHOA WHOA JUNGKOOK SIIIIIIIIIIIIIIIIIIII,0
74,1:14 awww💜💜,0
1200,20:00 I LOVE BTS!!!!!,1
62,"1:02
1:05
1:11",2
235,3:55 is the date on the baton is the day he audition for superstar k or the day he signed with bighit?,0
146,2:26 왜 지민이 그래? xd,0
50,0:50,0
183,3:03 whoa i was not ready for my soul to be pierced by jk's eyes,1
151,"2:31 our black swan, everyone :')",2
107,1:47 hahaha jungkooks face hahahaha,0
147,2:27  That's me when jungkook or jimin show us their abs 😈😅,33
206,3:26 how jungkook covered  while he is sleeping🌙😭,0
107,1:47 jungkooookkkkkk,1
254,"4:14
Look at Jungkook’s eyes he is really into that game😄",0
145,2:25 Jimin...,0
62,1:02 1:05 HAHAHAHAHAHAHAHAHA aww so CUTE!!,0
268,4:28,0
147,2:27 we got meme face,1
151,2:31,0
64,1:04 suga-when do i get off work just suga expression☺,0
220,3:40 do y'all see V's hair that is cut?,0
108,1:48 que sexy se ve jungkook,0
107,1:47,0
147,2:27 ( ͡° ͜ʖ ͡°),1
30,0:30 응 지민이면 다 좋아,0
57,0:57 Хосолнышко как обычно сияет))))))))))))),0
107,1:47 Jungkook siempre me mata en ese minuto.😳👍,1
206,3:26 so we aint gon talk about how jhope- okay,7
151,2:31 woah jimins spin,0
147,2:27 Jimin's evil smile...,0
204,"3:24 



.
.
.
..
.
.
.





Cute",0
58,0:58~1:13  favorite,1
67,1:07 i need a gif of this,0
88,1:28 Hoseok trying to eat Jimin 😂,232
108,1:48 jungkook.... You bought the death for me~,0
219,3:39 Jimin😂🥰,0
108,1:48 most of the people use this pic in memes and fanfics😂😂,0
64,1:04 Suga: When I'm getting off work? He meant it literally as well.haha Imagining Suga running away after making the MV. .... Haha.. Love you my bias.,1
294,4:54 adiós los amo ❤️🙊😘 saludos desde México amozoc de mota 😝🤪,0
288,"4:48
Imagine an elevator door open and you saw them.....
What would you do ???

I would literally scream my lungs out....🤩💜💜",20
184,"3:04 they are really tired,we shoul appreciate their work...
                      ~International Army",79
88,"1:28 LOL WHAT ARE THE SUBTITLES HERE, IT SAYS “STRAWBERRY ICE CREAM~!”. 
LOL WHAT.",0
62,01:02 - 1:12 = SO CUTE RM AND FUNNY ALSO.😲😘😍😋😉❤️💜♥️❣️🖤💜👍,0
150,2:30 what is jungkook even doing? 🤨🤣😂,37
65,1:05  should literally be a meme 😂😂😅🤦,1
205,3:25: Yoongiii what is that face?!?,2
89,1:29,2
86,1:26   1:28 😂😂😂😂😂😂😂😂,1
107,1:47قلبي الصغير لايتحمل 💓🙏🏻,1
205,3:25 Jhope: Hoy cojo!,1
64,"1:04 Yoongi is me every time I'm at work, just hoping for the time to pass by so I can go home",2
108,1:48 why does jungkook look so frikkingggg HOOOOOOOTTTY AAAAAAAAAAHHHHH 😭✊💜,1
205,3:25 is a meme and i wonder why no one has ever made a joke out of THAT before?,111
46,0:46 I'm sorry but the way Yoongi does his little old man run :D,155
118,1:58 명탐정 뷔 입니다.,0
62,"1:02, 1:05, 1:12.........RM with suga's rap",0
240,4:00 cometería un crimen para que me atrapase este policía 7u7,3
108,"1:48 






OMGGG🤤🤤",0
170,"2:50 Jimin is so hot manly in that outfit. Love his body, the selfconfidence way to stand.. ❤️",5
106,1:46 that's something i came here for😍,0
14,0:14@,1
7,"0:07
Me: watching .
Also me : omg I'm wearing the same clothes as him
*litterly *",0
67,1:07 quien es ella la de atrás??,0
107,1:47 damn son 🔥🔥,2
49,"00:49       1:34         1:50            3:00           3:11

3:24        4:26",0
183,3:03 i got JUNGSHOOK,4
39,0:39 You not done yet to be office just One things you need you changes is a shoes,0
64,"1:04
If that ain’t the most  yoongi thing that yoongi could say-",311
116,1:56 what u doing j hope? 🤣🤣🤣,0
108,1:48 where is fmv/edit lovers? Huh💜,0
147,2:27 jimin  😏😳😍😍😍😆👍🇰🇷,1
278,"4:38 

imagine being in the same elevator with these ...ookey 
okkeeyy
lets stop 
i said just imagine :)",76
108,1:48 and 2:27 are the gif which are used the most in gif ffs 🤣,0
108,1:48-Jeon Jungkook 💜🐇😏,1
107,1:47 can't breath 🤭,0
107,1:47 Jungkook 🔥,0
140,2:20     2:26,0
151,2:31 Ballet Jimin Just Jumped out.,5
273,4:33 사투리도 쩔어...,0
116,1:56 jhope HAHAHAHHAHAHAHHA,1
23,0:23 jhope HAHAHHAHAHAHHAHAHAHAH,2
199,3:19 the height diff. tho,0
108,1:48,0
269,4:29 when it’s your first time being a blogger,0
260,4:20 bts eats pizza.     Me:I’m hungry,1
219,3:39 why is there hair on the chair????,0
108,"1:48 HEY STOB ITTTTT!


3:04 Okay im done *dies*",0
116,1:56 harusnya aku~~~ (lanjutin sendiri),0
65,"1:05 put this is 0.5 speed
you WON'T regret it",2
235,3:55 can any kind soul tell me what this means ?,0
235,03:55 What this number..i don'7t know what this means..plzz tell me,0
123,"2:03 so,, all this time, that was what he hid behind the costume??
namjoon wearing black t-shirt is such a BLESSING",7
124,"2:04 UMM, EXCUSE??? ME??? WHY THOSE HOSEOK E X P O S E D. ARMS WERE NOT INCLUDED IN THE FINAL MV?? i have no longer a puritan soul, bye",156
150,2:30 jimin really wants to dance😂💜,1
19,0:19 JK: nistain lo ni ni ni nistain lo🤣,0
253,4:13 once you see it you can't unsee it,6
146,2:26 evil chim chim😁😏😏,0
67,1:07 hes so cutee,0
146,2:26 wussup lookin handsome boi 😏,1
261,4:21 😱😱 how could chu  not give meh some of dat pizza!!?? 😭😭,0
268,"4:28 Hobi cantando eyes, nose, lips de Taeyang xD",8
147,2:27 that smile,2
176,2:56グク可愛いw,0
146,2:26 ❤️❤️,1
64,"1:04 Suga: when is it ending? 
like lmao",0
108,1:48,1
72,1:12,0
29,0:29 아.... 당연합니다.....!,0
107,1:47 got me ded,0
129,"2:09
So you telling me Yoongi didn't ""enemy, enemy, enemy"" behind Joon? 🥺",1585
30,0:30 당연한거 아니에요?,0
128,"2:08 that was greenscreen but on the mv the members where behind him  
My 4yrs was 😭",34
68,1:08  민윤기 개졸귀야 큐큐ㅠㅠㅋㅠㅋ,0
206,3:26 jungkook covering sleeping tae with a jacket.,627
224,3:44 ??? WUT ???,0
107,1:47 omg!! Jungkook!!!!,2
60,"1:00 냄쥰쓰
1:08 뉸기쓰",0
197,3:17 Jimin is boyfriend material. 😍,512
226,3:46 petty girl,0
64,1:04 aifjalgkslfjnamjooon,0
151,2:31,0
108,1:48 that look hot af🔥,2
77,1:17 V And Jin ❤❤❤,0
62,1:02 1:05 1:12,1
235,"3:55, JungKook’s nightstick has 20110424, the day he officially became a member of BTS, guess he gets to keep that as a souvenir...he can put that in the cabinet with all his music awards. Bless his cute little heart...you go baby. We love you JK.",0
23,"00:23 아의 씐낭
1:47 꾹이 엄지척 망개망개 기여웡♡♡",1
147,"2:27

el meme xd",2
146,2:26 and 2:27 ^^ 3:39 lol,1
134,2:14 I only say Jimin and pants,0
94,"1:34 oH? tHosE wEre cUtE moVes????? nO hOe, theY'Re hOt aSf",184
107,"1:47 jungkook, please, STOP.",0
146,2:26 Jimin MEME,0
42,0:42 el doctor que necesito :(,0
253,4:13 залипатели в телефон,0
140,2:20 me:realising this video has subtitles 😂,1
269,4:29 is jimin pretending as that black dude who always put the camera close to his lips and talk the cutest way,0
62,1:02 1:05 1:11,0
